"","X","FY","Division","Code","Month","MonthNumber","MonthSortKey","FND_CAT","Pillar","Numerator_Hours","Denominator_Hours","Rate"
"2307",2307,2019,250,"252","Apr","07--Apr",7,"MISSION","FTS",21,835.5,0.02513465
"4945",4945,2020,290,"292","May","08--May",8,"REIMB","REIMB",0,8,0
"295",295,2018,220,"223","Jun","09--Jun",9,"MISSION","CMO",8,402,0.019900498
"2086",2086,2019,240,"241","Feb","05--Feb",5,"MISSION","OVERHEAD",103.5,1053,0.098290598
"3299",3299,2019,290,"292","Jan","04--Jan",4,"MISSION","FTS",26,513,0.050682261
"1167",1167,2018,280,"283","Aug","11--Aug",11,"MISSION","",13,0,0
"834",834,2018,260,"261","Dec","03--Dec",3,"REIMB","REIMB",9.5,36,0.263888889
"2241",2241,2019,250,"250","Oct","01--Oct",1,"MISSION","OVERHEAD",5,151,0.033112583
"3084",3084,2019,280,"285","Mar","06--Mar",6,"MISSION","UNIQ",39,625,0.0624
"3961",3961,2020,240,"243","May","08--May",8,"MISSION","CMO",0,4,0
"5055",5055,2020,290,"295","Dec","03--Dec",3,"MISSION","OVERHEAD",8,386,0.020725389
"868",868,2018,260,"261","Oct","01--Oct",1,"MISSION","FTS",81,1748,0.046338673
"1646",1646,2018,290,"295","Dec","03--Dec",3,"MISSION","CMO",47,650.5,0.072252114
"4230",4230,2020,250,"255","Feb","05--Feb",5,"MISSION","OVERHEAD",24,147,0.163265306
"2397",2397,2019,250,"253","Jul","10--Jul",10,"MISSION","UNIQ",86,307,0.280130293
"1282",1282,2018,280,"285","Apr","07--Apr",7,"MISSION","TSRA",3,588.5,0.005097706
"1",1,2018,200,"200","Apr","07--Apr",7,"MISSION","OVERHEAD",6,0,0
"4716",4716,2020,280,"285","Apr","07--Apr",7,"MISSION","OVERHEAD",17.5,1232,0.014204545
"2244",2244,2019,250,"251","Apr","07--Apr",7,"MISSION","FTS",57,972.5,0.058611825
"4437",4437,2020,260,"263","May","08--May",8,"MISSION","FTS",277.5,769,0.360858257
"673",673,2018,250,"253","Feb","05--Feb",5,"MISSION","TSRA",3,330,0.009090909
"2846",2846,2019,280,"281","Jul","10--Jul",10,"MISSION","TSRA",0,163,0
"456",456,2018,240,"242","Mar","06--Mar",6,"MISSION","TSRA",48,1773.5,0.027065125
"3538",3538,2020,200,"200A1","Nov","02--Nov",2,"MISSION","OVERHEAD",0,72,0
"1317",1317,2018,280,"285","May","08--May",8,"REIMB","REIMB",30,160,0.1875
"2925",2925,2019,280,"282","Sep","12--Sep",12,"MISSION","FTS",79,1160.5,0.068074106
"953",953,2018,260,"263","Feb","05--Feb",5,"MISSION","OVERHEAD",2,135,0.014814815
"5092",5092,2020,290,"295","Oct","01--Oct",1,"MISSION","TSRA",355,372,0.954301075
"4222",4222,2020,250,"255","Aug","11--Aug",11,"MISSION","CMO",6,114,0.052631579
"3857",3857,2020,240,"241","Jun","09--Jun",9,"MISSION","TSRA",0,14,0
"4810",4810,2020,280,"287","Aug","11--Aug",11,"MISSION","CMO",0,24,0
"264",264,2018,220,"222","May","08--May",8,"REIMB","REIMB",52,168,0.30952381
"1946",1946,2019,220,"221","Nov","02--Nov",2,"MISSION","CMO",282,2336.5,0.120693345
"1597",1597,2018,290,"294","Aug","11--Aug",11,"MISSION","FTS",5,1313,0.003808073
"1000",1000,2018,260,"264","Apr","07--Apr",7,"REIMB","REIMB",79.5,223,0.356502242
"5065",5065,2020,290,"295","Jan","04--Jan",4,"REIMB","REIMB",0,8,0
"1652",1652,2018,290,"295","Feb","05--Feb",5,"MISSION","FTS",2,266,0.007518797
"4631",4631,2020,280,"283","Feb","05--Feb",5,"MISSION","",0,8,0
"2229",2229,2019,240,"243","Sep","12--Sep",12,"MISSION","UNIQ",0,9,0
"584",584,2018,250,"251","May","08--May",8,"MISSION","FTS",10,1149.5,0.008699435
"3183",3183,2019,280,"287","Jul","10--Jul",10,"MISSION","TSRA",0,48,0
"4438",4438,2020,260,"263","May","08--May",8,"MISSION","OVERHEAD",54,351,0.153846154
"2946",2946,2019,280,"283","Feb","05--Feb",5,"MISSION","TSRA",0,190,0
"2938",2938,2019,280,"283","Aug","11--Aug",11,"REIMB","",37,80,0.4625
"2384",2384,2019,250,"253","Feb","05--Feb",5,"MISSION","OVERHEAD",13.5,1272,0.010613208
"2784",2784,2019,260,"264","Mar","06--Mar",6,"MISSION","FTS",379.5,643.5,0.58974359
"3386",3386,2019,290,"294","Apr","07--Apr",7,"MISSION","OVERHEAD",0,551,0
"393",393,2018,240,"241","Feb","05--Feb",5,"REIMB","REIMB",1,75,0.013333333
"3391",3391,2019,290,"294","Aug","11--Aug",11,"MISSION","TSRA",0,664,0
"4147",4147,2020,250,"253","Mar","06--Mar",6,"MISSION","TSRA",0,686.5,0
"4134",4134,2020,250,"253","Jul","10--Jul",10,"MISSION","CMO",15,121.5,0.12345679
"3011",3011,2019,280,"284","Jan","04--Jan",4,"MISSION","OVERHEAD",0,633.5,0
"743",743,2018,250,"254","May","08--May",8,"MISSION","TSRA",0,132,0
"2103",2103,2019,240,"241","Mar","06--Mar",6,"MISSION","TSRA",37,8,4.625
"4655",4655,2020,280,"283","Nov","02--Nov",2,"MISSION","TSRA",61,180,0.338888889
"3913",3913,2020,240,"242","Mar","06--Mar",6,"REIMB","REIMB",0,266,0
"2036",2036,2019,220,"224","Jan","04--Jan",4,"MISSION","CMO",147.7,924,0.159848485
"828",828,2018,260,"261","Aug","11--Aug",11,"MISSION","TSRA",0,32,0
"2934",2934,2019,280,"283","Aug","11--Aug",11,"MISSION","FTS",98,859.9,0.11396674
"701",701,2018,250,"253","Nov","02--Nov",2,"MISSION","TSRA",2,402.5,0.004968944
"3172",3172,2019,280,"287","Feb","05--Feb",5,"MISSION","FTS",52,482.5,0.107772021
"3395",3395,2019,290,"294","Dec","03--Dec",3,"MISSION","TSRA",0,311,0
"3850",3850,2020,240,"241","Jul","10--Jul",10,"MISSION","FTS",0,43,0
"2140",2140,2019,240,"242","Jan","04--Jan",4,"MISSION","TSRA",104,1248,0.083333333
"3586",3586,2020,210,"210","Nov","02--Nov",2,"MISSION","OVERHEAD",0,114.5,0
"4792",4792,2020,280,"286","May","08--May",8,"MISSION","OVERHEAD",0,176,0
"2317",2317,2019,250,"252","Dec","03--Dec",3,"MISSION","OVERHEAD",4,59,0.06779661
"243",243,2018,220,"222","Dec","03--Dec",3,"MISSION","CMO",340.5,1525,0.223278689
"1839",1839,2019,210,"211","Jul","10--Jul",10,"MISSION","OVERHEAD",3,216,0.013888889
"1658",1658,2018,290,"295","Jan","04--Jan",4,"MISSION","OVERHEAD",0,61,0
"1478",1478,2018,290,"291","Mar","06--Mar",6,"MISSION","OVERHEAD",0,103.5,0
"1653",1653,2018,290,"295","Feb","05--Feb",5,"MISSION","OVERHEAD",0,84,0
"2467",2467,2019,250,"254","May","08--May",8,"MISSION","TSRA",90.5,418,0.216507177
"1562",1562,2018,290,"293","Dec","03--Dec",3,"MISSION","TSRA",0,176,0
"3253",3253,2019,290,"291","Jun","09--Jun",9,"MISSION","UNIQ",7,4,1.75
"1858",1858,2019,210,"211","Nov","02--Nov",2,"MISSION","TSRA",6,1128,0.005319149
"389",389,2018,240,"241","Feb","05--Feb",5,"MISSION","CMO",39.5,888,0.044481982
"2075",2075,2019,240,"241","Apr","07--Apr",7,"MISSION","TSRA",4,5,0.8
"4953",4953,2020,290,"292","Oct","01--Oct",1,"REIMB","REIMB",16,24,0.666666667
"2510",2510,2019,250,"255","Mar","06--Mar",6,"MISSION","TSRA",8,573,0.013961606
"3202",3202,2019,280,"287","Oct","01--Oct",1,"MISSION","CMO",0,16,0
"1402",1402,2018,280,"287","Jul","10--Jul",10,"MISSION","CMO",10,84,0.119047619
"3480",3480,2019,290,"295","Sep","12--Sep",12,"REIMB","",0,80,0
"3021",3021,2019,280,"284","Jun","09--Jun",9,"MISSION","OVERHEAD",44,560,0.078571429
"2638",2638,2019,260,"262","Jul","10--Jul",10,"MISSION","FTS",23.5,1075,0.021860465
"3949",3949,2020,240,"243","Jul","10--Jul",10,"MISSION","OVERHEAD",0,1035,0
"2964",2964,2019,280,"283","Mar","06--Mar",6,"MISSION","OVERHEAD",0,460.5,0
"816",816,2018,260,"260","Jun","09--Jun",9,"MISSION","OVERHEAD",0,72,0
"1670",1670,2018,290,"295","Jun","09--Jun",9,"REIMB","REIMB",70,32,2.1875
"2949",2949,2019,280,"283","Jan","04--Jan",4,"MISSION","OVERHEAD",0,313.5,0
"4524",4524,2020,280,"280","Feb","05--Feb",5,"MISSION","OVERHEAD",0,126,0
"3189",3189,2019,280,"287","Mar","06--Mar",6,"MISSION","CMO",0,28,0
"4467",4467,2020,260,"264","Dec","03--Dec",3,"MISSION","",0,135,0
"2574",2574,2019,260,"261","Jul","10--Jul",10,"MISSION","FTS",407,1877.5,0.21677763
"1897",1897,2019,210,"213","Jan","04--Jan",4,"MISSION","OVERHEAD",0,448,0
"1492",1492,2018,290,"291","Sep","12--Sep",12,"MISSION","CMO",0,105,0
"2238",2238,2019,250,"250","Mar","06--Mar",6,"MISSION","OVERHEAD",11,123,0.089430894
"3540",3540,2020,200,"205A","Apr","07--Apr",7,"MISSION","OVERHEAD",19,1715.5,0.011075488
"2959",2959,2019,280,"283","Jun","09--Jun",9,"MISSION","OVERHEAD",4,445.4,0.008980692
"3731",3731,2020,220,"222","Jan","04--Jan",4,"MISSION","OVERHEAD",65,602,0.107973422
"3625",3625,2020,210,"211","Oct","01--Oct",1,"MISSION","FTS",0,143,0
"3225",3225,2019,290,"291","Apr","07--Apr",7,"MISSION","OVERHEAD",0,754,0
"4656",4656,2020,280,"283","Oct","01--Oct",1,"MISSION","FTS",8.5,1080.5,0.007866728
"2833",2833,2019,280,"281","Dec","03--Dec",3,"MISSION","OVERHEAD",0,261,0
"345",345,2018,220,"224","Oct","01--Oct",1,"MISSION","CMO",90,1324.5,0.06795017
"1449",1449,2018,290,"291","Aug","11--Aug",11,"MISSION","FTS",46,1287,0.035742036
"253",253,2018,220,"222","Jul","10--Jul",10,"MISSION","OVERHEAD",21.5,466,0.046137339
"3574",3574,2020,200,"205C","Oct","01--Oct",1,"MISSION","OVERHEAD",0,174,0
"996",996,2018,260,"264","Apr","07--Apr",7,"MISSION","CMO",433,1282,0.33775351
"112",112,2018,210,"211","Jul","10--Jul",10,"MISSION","FTS",0,156,0
"750",750,2018,250,"254","Oct","01--Oct",1,"MISSION","TSRA",4,173,0.023121387
"4206",4206,2020,250,"254","Nov","02--Nov",2,"MISSION","OVERHEAD",22,111,0.198198198
"4463",4463,2020,260,"264","Aug","11--Aug",11,"MISSION","FTS",305.5,1168,0.261558219
"1372",1372,2018,280,"286","Oct","01--Oct",1,"MISSION","FTS",135.5,1143,0.118547682
"2313",2313,2019,250,"252","Aug","11--Aug",11,"MISSION","OVERHEAD",25.3,251,0.100796813
"2224",2224,2019,240,"243","Oct","01--Oct",1,"MISSION","TSRA",0,315,0
"2247",2247,2019,250,"251","Apr","07--Apr",7,"REIMB","",0,46,0
"2688",2688,2019,260,"263","Dec","03--Dec",3,"REIMB","",131,162,0.808641975
"2146",2146,2019,240,"242","Jun","09--Jun",9,"MISSION","CMO",0,8,0
"1202",1202,2018,280,"283","May","08--May",8,"REIMB","REIMB",43,24,1.791666667
"4908",4908,2020,290,"292","Apr","07--Apr",7,"MISSION","TSRA",0,56,0
"1480",1480,2018,290,"291","May","08--May",8,"MISSION","CMO",0,223,0
"904",904,2018,260,"262","Jul","10--Jul",10,"MISSION","TSRA",11,202,0.054455446
"2389",2389,2019,250,"253","Jan","04--Jan",4,"MISSION","OVERHEAD",26,1133,0.022947926
"4172",4172,2020,250,"254","Aug","11--Aug",11,"MISSION","CMO",0,0,0
"2202",2202,2019,240,"243","Jun","09--Jun",9,"MISSION","OVERHEAD",0,186,0
"1043",1043,2018,260,"264","Nov","02--Nov",2,"MISSION","FTS",322,839,0.383790226
"703",703,2018,250,"253","Oct","01--Oct",1,"MISSION","FTS",6.5,270.5,0.024029575
"1594",1594,2018,290,"294","Apr","07--Apr",7,"MISSION","OVERHEAD",0,220,0
"2914",2914,2019,280,"282","May","08--May",8,"MISSION","UNIQ",0,147,0
"3619",3619,2020,210,"211","May","08--May",8,"MISSION","OVERHEAD",0,318,0
"4654",4654,2020,280,"283","Nov","02--Nov",2,"MISSION","OVERHEAD",12,136,0.088235294
"3533",3533,2020,200,"200A1","Jan","04--Jan",4,"MISSION","OVERHEAD",2,70,0.028571429
"718",718,2018,250,"254","Dec","03--Dec",3,"MISSION","FTS",50,831,0.060168472
"2207",2207,2019,240,"243","Mar","06--Mar",6,"MISSION","FTS",0,978,0
"5046",5046,2020,290,"295","Apr","07--Apr",7,"MISSION","OVERHEAD",0,736,0
"149",149,2018,210,"212","Jan","04--Jan",4,"REIMB","REIMB",0,16,0
"36",36,2018,200,"200A1","Jan","04--Jan",4,"MISSION","OVERHEAD",0,136.5,0
"5110",5110,2020,290,"296","Feb","05--Feb",5,"MISSION","TSRA",0,273,0
"2702",2702,2019,260,"263","Jul","10--Jul",10,"MISSION","OVERHEAD",64.5,339,0.190265487
"2793",2793,2019,260,"264","May","08--May",8,"MISSION","UNIQ",8,101,0.079207921
"2490",2490,2019,250,"255","Feb","05--Feb",5,"MISSION","CMO",48,201,0.23880597
"853",853,2018,260,"261","Mar","06--Mar",6,"MISSION","FTS",387.5,2110,0.183649289
"4216",4216,2020,250,"254","Sep","12--Sep",12,"MISSION","OVERHEAD",32.5,437,0.074370709
"3090",3090,2019,280,"285","Nov","02--Nov",2,"MISSION","FTS",57.5,882,0.065192744
"4703",4703,2020,280,"284","Nov","02--Nov",2,"MISSION","FTS",0,601,0
"644",644,2018,250,"252","Nov","02--Nov",2,"MISSION","FTS",328.5,1286.5,0.255343956
"2785",2785,2019,260,"264","Mar","06--Mar",6,"MISSION","OVERHEAD",0,257,0
"3427",3427,2019,290,"294","Sep","12--Sep",12,"MISSION","TSRA",0,164,0
"3941",3941,2020,240,"243","Feb","05--Feb",5,"MISSION","OVERHEAD",4,279.5,0.01431127
"4132",4132,2020,250,"253","Jan","04--Jan",4,"MISSION","TSRA",36,653.5,0.055087988
"1074",1074,2018,280,"281","Dec","03--Dec",3,"MISSION","FTS",44,1363,0.032281731
"2799",2799,2019,260,"264","Nov","02--Nov",2,"REIMB","",39,176,0.221590909
"2696",2696,2019,260,"263","Jan","04--Jan",4,"MISSION","OVERHEAD",36,271.5,0.132596685
"2580",2580,2019,260,"261","Jun","09--Jun",9,"MISSION","OVERHEAD",12,143,0.083916084
"1665",1665,2018,290,"295","Jul","10--Jul",10,"REIMB","REIMB",64,80,0.8
"552",552,2018,250,"251","Dec","03--Dec",3,"MISSION","CMO",0,207,0
"3866",3866,2020,240,"241","May","08--May",8,"MISSION","OVERHEAD",22,1225.5,0.017951856
"3456",3456,2019,290,"295","Jun","09--Jun",9,"MISSION","TSRA",387.5,511,0.758317025
"3637",3637,2020,210,"212","Dec","03--Dec",3,"MISSION","OVERHEAD",34,820.2,0.041453304
"1510",1510,2018,290,"292","Feb","05--Feb",5,"MISSION","CMO",0,16,0
"985",985,2018,260,"263","Nov","02--Nov",2,"REIMB","REIMB",171.5,372.5,0.460402685
"1087",1087,2018,280,"281","Jul","10--Jul",10,"MISSION","TSRA",0,237,0
"3773",3773,2020,220,"223","Oct","01--Oct",1,"MISSION","CMO",0,63,0
"4397",4397,2020,260,"263","Apr","07--Apr",7,"MISSION","OVERHEAD",36.5,487.5,0.074871795
"3600",3600,2020,210,"211","Feb","05--Feb",5,"MISSION","OVERHEAD",4,300,0.013333333
"3217",3217,2019,290,"290","Jun","09--Jun",9,"MISSION","OVERHEAD",0,135.5,0
"2552",2552,2019,260,"261","Aug","11--Aug",11,"REIMB","",96,36,2.666666667
"3664",3664,2020,220,"220","Apr","07--Apr",7,"MISSION","OVERHEAD",18,176,0.102272727
"1577",1577,2018,290,"293","Mar","06--Mar",6,"MISSION","OVERHEAD",0,175,0
"2511",2511,2019,250,"255","May","08--May",8,"MISSION","CMO",10,40,0.25
"271",271,2018,220,"222","Oct","01--Oct",1,"MISSION","OVERHEAD",47.1,237,0.198734177
"2197",2197,2019,240,"243","Jul","10--Jul",10,"MISSION","TSRA",0,248,0
"1158",1158,2018,280,"282","Sep","12--Sep",12,"MISSION","",10,72,0.138888889
"643",643,2018,250,"252","Nov","02--Nov",2,"MISSION","CMO",0,144,0
"1070",1070,2018,280,"281","Aug","11--Aug",11,"MISSION","FTS",292,1454,0.200825309
"811",811,2018,260,"260","Apr","07--Apr",7,"MISSION","OVERHEAD",0,64,0
"1929",1929,2019,220,"221","Feb","05--Feb",5,"REIMB","",50.5,169,0.298816568
"4161",4161,2020,250,"253","Oct","01--Oct",1,"MISSION","TSRA",0,531,0
"2713",2713,2019,260,"263","Mar","06--Mar",6,"MISSION","TSRA",29.3,234,0.125213675
"3489",3489,2019,290,"296","Dec","03--Dec",3,"MISSION","OVERHEAD",18,262.5,0.068571429
"4963",4963,2020,290,"293","Aug","11--Aug",11,"MISSION","OVERHEAD",5,334.5,0.014947683
"2328",2328,2019,250,"252","Jan","04--Jan",4,"MISSION","OVERHEAD",7.5,118,0.063559322
"940",940,2018,260,"263","Apr","07--Apr",7,"REIMB","REIMB",50.7,144,0.352083333
"510",510,2018,240,"243","May","08--May",8,"MISSION","CMO",0,24,0
"2961",2961,2019,280,"283","Jun","09--Jun",9,"MISSION","UNIQ",0,12,0
"840",840,2018,260,"261","Jan","04--Jan",4,"MISSION","CMO",0,141,0
"4997",4997,2020,290,"293","Sep","12--Sep",12,"MISSION","FTS",16,1424,0.011235955
"1559",1559,2018,290,"293","Aug","11--Aug",11,"MISSION","TSRA",0,348.5,0
"2656",2656,2019,260,"262","May","08--May",8,"MISSION","UNIQ",0,72,0
"105",105,2018,210,"211","Feb","05--Feb",5,"MISSION","FTS",18,256,0.0703125
"4791",4791,2020,280,"286","May","08--May",8,"MISSION","FTS",48,1400.5,0.034273474
"1231",1231,2018,280,"284","Dec","03--Dec",3,"MISSION","TSRA",0,153.5,0
"5123",5123,2020,290,"296","Mar","06--Mar",6,"MISSION","OVERHEAD",5,236.5,0.021141649
"4290",4290,2020,260,"261","Dec","03--Dec",3,"REIMB","REIMB",70,40,1.75
"57",57,2018,200,"205A","Sep","12--Sep",12,"MISSION","OVERHEAD",61,1138.5,0.053579271
"2497",2497,2019,250,"255","Jan","04--Jan",4,"MISSION","OVERHEAD",4,158,0.025316456
"3812",3812,2020,240,"240","Apr","07--Apr",7,"MISSION","OVERHEAD",15,330.5,0.045385779
"2551",2551,2019,260,"261","Aug","11--Aug",11,"MISSION","UNIQ",0,12,0
"4922",4922,2020,290,"292","Feb","05--Feb",5,"REIMB","REIMB",7,116,0.060344828
"2045",2045,2019,220,"224","Mar","06--Mar",6,"MISSION","CMO",91,761.5,0.119500985
"3232",3232,2019,290,"291","Dec","03--Dec",3,"MISSION","FTS",102,775,0.131612903
"2851",2851,2019,280,"281","Jun","09--Jun",9,"MISSION","TSRA",0,116,0
"2634",2634,2019,260,"262","Jan","04--Jan",4,"MISSION","OVERHEAD",0,352,0
"707",707,2018,250,"253","Sep","12--Sep",12,"MISSION","CMO",8,741.5,0.010788941
"1546",1546,2018,290,"292","Oct","01--Oct",1,"MISSION","OVERHEAD",13,366,0.035519126
"3068",3068,2019,280,"285","Jan","04--Jan",4,"MISSION","OVERHEAD",3.5,492,0.007113821
"3838",3838,2020,240,"241","Dec","03--Dec",3,"REIMB","REIMB",0,1,0
"173",173,2018,210,"213","Feb","05--Feb",5,"MISSION","OVERHEAD",0,584,0
"2297",2297,2019,250,"251","Oct","01--Oct",1,"MISSION","OVERHEAD",18,168,0.107142857
"5070",5070,2020,290,"295","Jul","10--Jul",10,"REIMB","REIMB",0,16,0
"2908",2908,2019,280,"282","Mar","06--Mar",6,"MISSION","OVERHEAD",18,318.5,0.056514914
"662",662,2018,250,"253","Aug","11--Aug",11,"MISSION","OVERHEAD",21,261,0.08045977
"2237",2237,2019,250,"250","Jun","09--Jun",9,"MISSION","OVERHEAD",1,134,0.007462687
"310",310,2018,220,"224","Apr","07--Apr",7,"MISSION","OVERHEAD",44,300.5,0.146422629
"806",806,2018,250,"255","Oct","01--Oct",1,"REIMB","REIMB",0,24,0
"2629",2629,2019,260,"262","Feb","05--Feb",5,"MISSION","OVERHEAD",0,347,0
"2694",2694,2019,260,"263","Jan","04--Jan",4,"MISSION","CMO",49,250,0.196
"1863",1863,2019,210,"211","Sep","12--Sep",12,"MISSION","OVERHEAD",4,204,0.019607843
"4613",4613,2020,280,"282","Oct","01--Oct",1,"MISSION","FTS",69,1837,0.037561241
"2743",2743,2019,260,"264","Aug","11--Aug",11,"MISSION","CMO",332,1109.5,0.299233889
"4030",4030,2020,250,"251","May","08--May",8,"MISSION","OVERHEAD",30,828,0.036231884
"888",888,2018,260,"262","Dec","03--Dec",3,"MISSION","OVERHEAD",0,154,0
"141",141,2018,210,"212","Aug","11--Aug",11,"MISSION","TSRA",0,16,0
"3216",3216,2019,290,"290","Jul","10--Jul",10,"MISSION","OVERHEAD",0,125,0
"400",400,2018,240,"241","Jul","10--Jul",10,"MISSION","FTS",0,211,0
"1579",1579,2018,290,"293","May","08--May",8,"MISSION","",20.5,34,0.602941176
"2969",2969,2019,280,"283","May","08--May",8,"MISSION","FTS",10,558.5,0.017905103
"5121",5121,2020,290,"296","Jun","09--Jun",9,"MISSION","TSRA",0,18,0
"3701",3701,2020,220,"221","Mar","06--Mar",6,"REIMB","REIMB",58.5,338.5,0.17282127
"3678",3678,2020,220,"221","Apr","07--Apr",7,"REIMB","REIMB",71.5,422,0.16943128
"3116",3116,2019,280,"286","Feb","05--Feb",5,"MISSION","FTS",341.5,1017.5,0.335626536
"3130",3130,2019,280,"286","Jun","09--Jun",9,"MISSION","CMO",0,4,0
"1311",1311,2018,280,"285","Mar","06--Mar",6,"MISSION","OVERHEAD",7.5,453,0.016556291
"2675",2675,2019,260,"263","Apr","07--Apr",7,"MISSION","OVERHEAD",22.5,287,0.078397213
"1995",1995,2019,220,"222","Oct","01--Oct",1,"REIMB","",73,334,0.218562874
"3512",3512,2019,290,"296","Oct","01--Oct",1,"MISSION","FTS",59.8,1246,0.047993579
"851",851,2018,260,"261","Jun","09--Jun",9,"REIMB","REIMB",8,56,0.142857143
"1714",1714,2018,290,"296","Jun","09--Jun",9,"MISSION","FTS",15,1199.5,0.012505211
"1358",1358,2018,280,"286","Jun","09--Jun",9,"MISSION","TSRA",17.5,232,0.075431034
"3178",3178,2019,280,"287","Jan","04--Jan",4,"MISSION","TSRA",6,80,0.075
"5112",5112,2020,290,"296","Jan","04--Jan",4,"MISSION","OVERHEAD",26.5,179.5,0.147632312
"3286",3286,2019,290,"292","Aug","11--Aug",11,"MISSION","OVERHEAD",12,366.5,0.032742156
"1405",1405,2018,280,"287","Jul","10--Jul",10,"MISSION","TSRA",76.5,285,0.268421053
"4239",4239,2020,250,"255","Jul","10--Jul",10,"REIMB","REIMB",0,9,0
"4629",4629,2020,280,"283","Dec","03--Dec",3,"MISSION","TSRA",0,93,0
"2130",2130,2019,240,"242","Dec","03--Dec",3,"MISSION","TSRA",96,752.5,0.127574751
"5125",5125,2020,290,"296","Mar","06--Mar",6,"REIMB","REIMB",0,1,0
"3092",3092,2019,280,"285","Nov","02--Nov",2,"MISSION","TSRA",31,395,0.078481013
"2717",2717,2019,260,"263","May","08--May",8,"MISSION","OVERHEAD",18.5,211.5,0.087470449
"4731",4731,2020,280,"285","Jul","10--Jul",10,"MISSION","FTS",40,840,0.047619048
"4610",4610,2020,280,"282","Nov","02--Nov",2,"MISSION","TSRA",0,219,0
"1104",1104,2018,280,"281","Nov","02--Nov",2,"REIMB","REIMB",427,211,2.023696682
"2865",2865,2019,280,"281","Oct","01--Oct",1,"MISSION","CMO",0,64,0
"2388",2388,2019,250,"253","Jan","04--Jan",4,"MISSION","FTS",128.5,409,0.314180929
"3380",3380,2019,290,"293","Oct","01--Oct",1,"MISSION","UNIQ",0,317,0
"652",652,2018,250,"252","Sep","12--Sep",12,"MISSION","CMO",0,54,0
"4428",4428,2020,260,"263","Jun","09--Jun",9,"MISSION","TSRA",0,353,0
"1200",1200,2018,280,"283","May","08--May",8,"MISSION","OVERHEAD",0,395,0
"3231",3231,2019,290,"291","Aug","11--Aug",11,"MISSION","TSRA",0,436,0
"4233",4233,2020,250,"255","Jan","04--Jan",4,"MISSION","OVERHEAD",56,240,0.233333333
"1883",1883,2019,210,"212","Mar","06--Mar",6,"REIMB","",8,80,0.1
"2246",2246,2019,250,"251","Apr","07--Apr",7,"MISSION","TSRA",232,668.5,0.347045625
"1912",1912,2019,220,"220","Mar","06--Mar",6,"MISSION","OVERHEAD",24,120,0.2
"2386",2386,2019,250,"253","Feb","05--Feb",5,"MISSION","UNIQ",98,296,0.331081081
"1287",1287,2018,280,"285","Aug","11--Aug",11,"REIMB","REIMB",14.5,52,0.278846154
"3300",3300,2019,290,"292","Jan","04--Jan",4,"MISSION","OVERHEAD",4,224,0.017857143
"943",943,2018,260,"263","Aug","11--Aug",11,"MISSION","OVERHEAD",0,116,0
"3207",3207,2019,280,"287","Sep","12--Sep",12,"MISSION","FTS",14,527,0.026565465
"2821",2821,2019,280,"280","Nov","02--Nov",2,"MISSION","OVERHEAD",0,137,0
"3795",3795,2020,220,"224","Jun","09--Jun",9,"MISSION","OVERHEAD",57,241.5,0.236024845
"2344",2344,2019,250,"252","Mar","06--Mar",6,"MISSION","TSRA",11,473,0.023255814
"3149",3149,2019,280,"286","Oct","01--Oct",1,"MISSION","OVERHEAD",0,182,0
"3567",3567,2020,200,"205C","Feb","05--Feb",5,"MISSION","OVERHEAD",0,143,0
"3708",3708,2020,220,"221","Nov","02--Nov",2,"REIMB","REIMB",65,247,0.263157895
"1732",1732,2018,290,"296","Sep","12--Sep",12,"MISSION","FTS",85.5,1046.5,0.081700908
"2209",2209,2019,240,"243","Mar","06--Mar",6,"MISSION","TSRA",0,53,0
"4882",4882,2020,290,"291","Jul","10--Jul",10,"MISSION","OVERHEAD",44,385,0.114285714
"4234",4234,2020,250,"255","Jan","04--Jan",4,"MISSION","TSRA",78,614,0.127035831
"233",233,2018,220,"221","Sep","12--Sep",12,"MISSION","CMO",159.5,1849,0.086262845
"4537",4537,2020,280,"281","Aug","11--Aug",11,"MISSION","OVERHEAD",0,279,0
"3184",3184,2019,280,"287","Jul","10--Jul",10,"MISSION","UNIQ",0,8,0
"35",35,2018,200,"200A1","Feb","05--Feb",5,"MISSION","OVERHEAD",0,152,0
"4431",4431,2020,260,"263","Mar","06--Mar",6,"MISSION","FTS",310.5,595,0.521848739
"4714",4714,2020,280,"285","Apr","07--Apr",7,"MISSION","",0,28,0
"4527",4527,2020,280,"280","Jun","09--Jun",9,"MISSION","OVERHEAD",0,132,0
"2790",2790,2019,260,"264","May","08--May",8,"MISSION","FTS",695,836.5,0.830842797
"4117",4117,2020,250,"253","Aug","11--Aug",11,"MISSION","UNIQ",37,139,0.26618705
"2918",2918,2019,280,"282","Nov","02--Nov",2,"MISSION","UNIQ",8,247,0.032388664
"4665",4665,2020,280,"284","Apr","07--Apr",7,"MISSION","FTS",0,450.5,0
"565",565,2018,250,"251","Jan","04--Jan",4,"MISSION","TSRA",450,805,0.559006211
"2996",2996,2019,280,"284","Aug","11--Aug",11,"MISSION","OVERHEAD",16,711,0.022503516
"5069",5069,2020,290,"295","Jul","10--Jul",10,"MISSION","TSRA",88,568,0.154929577
"2332",2332,2019,250,"252","Jul","10--Jul",10,"MISSION","FTS",59,1046.5,0.056378404
"1098",1098,2018,280,"281","May","08--May",8,"MISSION","FTS",68,1750.5,0.038846044
