"","X","FY","Division","Code","Month","MonthNumber","MonthSortKey","FND_CAT","Pillar","Numerator_Hours","Denominator_Hours","Rate"
"581",581,2018,250,"251","Mar","06--Mar",6,"REIMB","REIMB",0,40,0
"986",986,2018,260,"263","Oct","01--Oct",1,"MISSION","CMO",55.5,273,0.203296703
"4625",4625,2020,280,"283","Aug","11--Aug",11,"MISSION","TSRA",0,18.1,0
"4209",4209,2020,250,"254","Oct","01--Oct",1,"MISSION","CMO",0,32,0
"2421",2421,2019,250,"253","Oct","01--Oct",1,"MISSION","FTS",0,480,0
"2534",2534,2019,260,"260","Dec","03--Dec",3,"MISSION","OVERHEAD",0,128,0
"4788",4788,2020,280,"286","Mar","06--Mar",6,"MISSION","TSRA",0,148,0
"4580",4580,2020,280,"282","Aug","11--Aug",11,"MISSION","FTS",0,1924,0
"2780",2780,2019,260,"264","Jun","09--Jun",9,"MISSION","UNIQ",10,116,0.086206897
"1338",1338,2018,280,"286","Aug","11--Aug",11,"REIMB","REIMB",71,152,0.467105263
"4225",4225,2020,250,"255","Aug","11--Aug",11,"MISSION","TSRA",2,461,0.004338395
"1789",1789,2019,200,"205B","May","08--May",8,"MISSION","OVERHEAD",24,120,0.2
"1962",1962,2019,220,"222","Aug","11--Aug",11,"MISSION","FTS",5,0,0
"2720",2720,2019,260,"263","Nov","02--Nov",2,"MISSION","CMO",106.5,68,1.566176471
"984",984,2018,260,"263","Nov","02--Nov",2,"MISSION","TSRA",2,238,0.008403361
"3342",3342,2019,290,"293","Apr","07--Apr",7,"MISSION","UNIQ",503,350,1.437142857
"3321",3321,2019,290,"292","May","08--May",8,"MISSION","TSRA",0,164,0
"3940",3940,2020,240,"243","Feb","05--Feb",5,"MISSION","FTS",4.5,890,0.00505618
"964",964,2018,260,"263","Jul","10--Jul",10,"MISSION","TSRA",4,327,0.012232416
"3878",3878,2020,240,"241","Sep","12--Sep",12,"MISSION","FTS",5,52,0.096153846
"3592",3592,2020,210,"211","Apr","07--Apr",7,"REIMB","REIMB",0,41,0
"4506",4506,2020,260,"264","Nov","02--Nov",2,"MISSION","FTS",289.5,278,1.041366906
"4420",4420,2020,260,"263","Jul","10--Jul",10,"MISSION","CMO",4,105,0.038095238
"1966",1966,2019,220,"222","Dec","03--Dec",3,"MISSION","CMO",331.5,1368,0.242324561
"1352",1352,2018,280,"286","Jul","10--Jul",10,"MISSION","FTS",94.5,618.5,0.152789006
"3010",3010,2019,280,"284","Jan","04--Jan",4,"MISSION","FTS",23.5,322,0.072981366
"1757",1757,2019,200,"200A1","Oct","01--Oct",1,"MISSION","OVERHEAD",0,167,0
"3796",3796,2020,220,"224","Jun","09--Jun",9,"REIMB","REIMB",0,421,0
"2781",2781,2019,260,"264","Jun","09--Jun",9,"REIMB","",41.5,158.5,0.261829653
"1451",1451,2018,290,"291","Aug","11--Aug",11,"MISSION","TSRA",0,347,0
"545",545,2018,250,"251","Apr","07--Apr",7,"MISSION","OVERHEAD",1,29,0.034482759
"1970",1970,2019,220,"222","Feb","05--Feb",5,"MISSION","OVERHEAD",26,289,0.089965398
"2920",2920,2019,280,"282","Oct","01--Oct",1,"MISSION","FTS",179,1051,0.170313987
"3693",3693,2020,220,"221","Jul","10--Jul",10,"MISSION","CMO",98,2850,0.034385965
"379",379,2018,240,"241","Aug","11--Aug",11,"MISSION","FTS",0,151,0
"589",589,2018,250,"251","Nov","02--Nov",2,"MISSION","OVERHEAD",0,46,0
"2430",2430,2019,250,"254","Apr","07--Apr",7,"MISSION","FTS",42,667,0.062968516
"4915",4915,2020,290,"292","Dec","03--Dec",3,"MISSION","FTS",7,497,0.014084507
"367",367,2018,240,"240","May","08--May",8,"MISSION","OVERHEAD",3,176,0.017045455
"371",371,2018,240,"240","Oct","01--Oct",1,"MISSION","OVERHEAD",0,166,0
"2496",2496,2019,250,"255","Jan","04--Jan",4,"MISSION","FTS",12,470,0.025531915
"2666",2666,2019,260,"262","Oct","01--Oct",1,"MISSION","UNIQ",0,88,0
"304",304,2018,220,"223","Nov","02--Nov",2,"REIMB","REIMB",0,2,0
"5124",5124,2020,290,"296","Mar","06--Mar",6,"MISSION","TSRA",0,152,0
"2165",2165,2019,240,"242","Sep","12--Sep",12,"MISSION","CMO",0,35,0
"4696",4696,2020,280,"284","Mar","06--Mar",6,"MISSION","FTS",6,384.5,0.015604681
"1710",1710,2018,290,"296","Jan","04--Jan",4,"MISSION","TSRA",0,76.5,0
"3141",3141,2019,280,"286","May","08--May",8,"MISSION","TSRA",108.5,548,0.197992701
"719",719,2018,250,"254","Dec","03--Dec",3,"MISSION","OVERHEAD",9,57,0.157894737
"3723",3723,2020,220,"222","Dec","03--Dec",3,"MISSION","CMO",403,1410,0.285815603
"4605",4605,2020,280,"282","May","08--May",8,"MISSION","FTS",2,1825,0.00109589
"3689",3689,2020,220,"221","Jan","04--Jan",4,"MISSION","",0,1,0
"2591",2591,2019,260,"261","May","08--May",8,"MISSION","TSRA",0,262.5,0
"386",386,2018,240,"241","Dec","03--Dec",3,"MISSION","TSRA",0,22,0
"2475",2475,2019,250,"254","Oct","01--Oct",1,"REIMB","",0,48,0
"4127",4127,2020,250,"253","Feb","05--Feb",5,"MISSION","UNIQ",0,70,0
"3222",3222,2019,290,"290","Sep","12--Sep",12,"MISSION","OVERHEAD",8,101,0.079207921
"1706",1706,2018,290,"296","Feb","05--Feb",5,"MISSION","OVERHEAD",0,218,0
"4896",4896,2020,290,"291","Nov","02--Nov",2,"MISSION","TSRA",0,317.5,0
"2133",2133,2019,240,"242","Feb","05--Feb",5,"MISSION","FTS",0,8,0
"3175",3175,2019,280,"287","Jan","04--Jan",4,"MISSION","CMO",0,42,0
"70",70,2018,200,"205C","Apr","07--Apr",7,"MISSION","OVERHEAD",0,165,0
"4881",4881,2020,290,"291","Jul","10--Jul",10,"MISSION","FTS",21,1140,0.018421053
"1783",1783,2019,200,"205B","Dec","03--Dec",3,"MISSION","OVERHEAD",49.5,60,0.825
"3087",3087,2019,280,"285","May","08--May",8,"MISSION","TSRA",0,389,0
"3095",3095,2019,280,"285","Oct","01--Oct",1,"MISSION","OVERHEAD",2.5,335.5,0.007451565
"3445",3445,2019,290,"295","Feb","05--Feb",5,"REIMB","",44,112,0.392857143
"3004",3004,2019,280,"284","Feb","05--Feb",5,"MISSION","CMO",0,33.5,0
"1937",1937,2019,220,"221","Jun","09--Jun",9,"MISSION","CMO",241.5,2384.5,0.101279094
"3947",3947,2020,240,"243","Jan","04--Jan",4,"REIMB","REIMB",66.5,44,1.511363636
"556",556,2018,250,"251","Dec","03--Dec",3,"REIMB","REIMB",0,4,0
"1896",1896,2019,210,"213","Feb","05--Feb",5,"MISSION","OVERHEAD",0,413,0
"629",629,2018,250,"252","Jun","09--Jun",9,"MISSION","CMO",0,57,0
"3015",3015,2019,280,"284","Jul","10--Jul",10,"MISSION","FTS",33.5,594.5,0.056349874
"1725",1725,2018,290,"296","Nov","02--Nov",2,"MISSION","FTS",49.5,963,0.051401869
"1715",1715,2018,290,"296","Jun","09--Jun",9,"MISSION","OVERHEAD",0,349.5,0
"3847",3847,2020,240,"241","Jan","04--Jan",4,"MISSION","TSRA",0,16,0
"905",905,2018,260,"262","Jul","10--Jul",10,"REIMB","REIMB",20,89,0.224719101
"2663",2663,2019,260,"262","Oct","01--Oct",1,"MISSION","FTS",114.5,1054,0.108633776
"4956",4956,2020,290,"292","Sep","12--Sep",12,"MISSION","OVERHEAD",0,537,0
"3766",3766,2020,220,"223","Jul","10--Jul",10,"MISSION","OVERHEAD",0,647.5,0
"2022",2022,2019,220,"223","Sep","12--Sep",12,"MISSION","CMO",0,60,0
"3834",3834,2020,240,"241","Dec","03--Dec",3,"MISSION","CMO",81.5,107,0.761682243
"1469",1469,2018,290,"291","Jul","10--Jul",10,"MISSION","OVERHEAD",70,473,0.147991543
"207",207,2018,220,"221","Feb","05--Feb",5,"MISSION","CMO",476,2426,0.196207749
"4947",4947,2020,290,"292","Nov","02--Nov",2,"MISSION","FTS",14,567,0.024691358
"5040",5040,2020,290,"294","Oct","01--Oct",1,"MISSION","TSRA",0,332,0
"3622",3622,2020,210,"211","Nov","02--Nov",2,"MISSION","FTS",0,128,0
"1708",1708,2018,290,"296","Jan","04--Jan",4,"MISSION","FTS",45.5,1545,0.029449838
"5034",5034,2020,290,"294","Nov","02--Nov",2,"MISSION","OVERHEAD",0,151,0
"2643",2643,2019,260,"262","Jun","09--Jun",9,"MISSION","FTS",4.5,668.5,0.006731488
"4226",4226,2020,250,"255","Dec","03--Dec",3,"MISSION","FTS",64,823,0.077764277
"804",804,2018,250,"255","Oct","01--Oct",1,"MISSION","OVERHEAD",0,167,0
"4503",4503,2020,260,"264","May","08--May",8,"REIMB","REIMB",46,312,0.147435897
"679",679,2018,250,"253","Jul","10--Jul",10,"MISSION","FTS",85,525,0.161904762
"3944",3944,2020,240,"243","Jan","04--Jan",4,"MISSION","FTS",0,821.5,0
"204",204,2018,220,"221","Dec","03--Dec",3,"MISSION","CMO",231,1978.5,0.116755118
"2243",2243,2019,250,"251","Apr","07--Apr",7,"MISSION","CMO",0,140,0
"4107",4107,2020,250,"252","Sep","12--Sep",12,"MISSION","TSRA",32,678,0.04719764
